n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max
1.120e+04	3.000e+00	2.311e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.130e+04	3.000e+00	2.311e+00	3.296e+00	1.858e+00	1.550e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.140e+04	2.777e+00	2.265e+00	3.246e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.150e+04	2.777e+00	2.265e+00	3.246e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.160e+04	2.777e+00	2.265e+00	3.246e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.170e+04	2.777e+00	2.265e+00	3.246e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.180e+04	2.777e+00	2.265e+00	3.246e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.190e+04	2.764e+00	2.265e+00	3.174e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.200e+04	2.692e+00	2.262e+00	3.159e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.210e+04	2.692e+00	2.262e+00	3.159e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.220e+04	2.692e+00	2.262e+00	3.159e+00	1.858e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.230e+04	2.692e+00	2.262e+00	3.159e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.240e+04	2.692e+00	2.262e+00	3.159e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.250e+04	2.692e+00	2.262e+00	3.159e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.260e+04	2.692e+00	2.262e+00	3.246e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.270e+04	2.692e+00	2.262e+00	3.246e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.280e+04	2.692e+00	2.262e+00	3.246e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.290e+04	2.692e+00	2.262e+00	3.246e+00	1.858e+00	1.545e+00	2.078e+00	1.024e+00	9.291e-01	1.255e+00
1.300e+04	2.692e+00	2.262e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
